date,title,hit,recommend,url,content
2025-05-07,메모,22,0,https://gall.dcinside.com/board/view/?id=stock_new2&no=8451199&page=1,"안철수 후보검증에 대한 글을 허위사실로 고소예정
엄중히 경고
가 아닌 협박
법리상으로 페북글 자체만으로 협박죄로 역고소 가능"
2025-05-07,술 처먹고 역모 획책하다 멱살 잡힌 윤석열 근황,17,0,https://gall.dcinside.com/board/view/?id=stock_new2&no=8451203&page=1,또 술 처먹고 있더라
2025-05-07,희대의 사기범 중국 대법관 붙잡혀,0,0,https://gall.dcinside.com/board/view/?id=stock_new2&no=8451204&page=1,".
한심한 놈 붙잡혀 탄핵위기까지
."
2025-05-07,결국 국힘 정치적 사망,38,0,https://gall.dcinside.com/board/view/?id=stock_new2&no=8451193&page=1,- dc official App
2025-05-07,안철수 페북) 허위사실 삭제 안하면 모두 형사고발예정,28,0,https://gall.dcinside.com/board/view/?id=stock_new2&no=8451198&page=1,"[의원실에서 알려드립니다]
현재 일부 유튜브, 페이스북 등 SNS를 통해 안철수 의원에 대한 악의적인 영상, 가짜뉴스, 비방 게시물이 무분별하게 유포되고 있습니다.
특히 안철수 의원의 건강 이상, 치매설 등은 전혀 사실이 아니며 명백한 허위사실임을 분명히 밝힙니다.
이와 같은 허위·비방 콘텐츠를 게시하거나 유포하신 분께서는 즉시 해당 게시물을 삭제해 주시기 바랍니다.
내일까지 자진 삭제하지 않을 경우, 정보통신망 이용촉진 및 정보보호 등에 관한 법률(정보통신망법)상 명예훼손 혐의로 형사 고발하겠습니다.
법적 대응에는 어떠한 선처도 없을 것임을 엄중히 경고드립니다."
2025-05-07,메모에 대한 부연설명,23,0,https://gall.dcinside.com/board/view/?id=stock_new2&no=8451201&page=1,"내일까지 안지우면 형사고발 한다는 압박을 주는건 협박이 성립.
당연히 협박죄로 고발가능
나 법조인 싫어하는데 그냥 리더는 법조인이 해라
무릎팍 도사에서 강호동앞에서 사기친 사기꾼이 하지말고"
2025-05-07,ai한테도 입력해놓았네 ㅋㅋㅋㅋㅋ,37,0,https://gall.dcinside.com/board/view/?id=stock_new2&no=8451195&page=1,- dc official App
2025-05-07,김문수 “여성가족부 폐지 말고 격상하자… 저출산 대응 강화”,17,0,https://gall.dcinside.com/board/view/?id=stock_new2&no=8451202&page=1,이재명 당선
2025-05-07,김만배..,35,0,https://gall.dcinside.com/board/view/?id=stock_new2&no=8451192&page=1,- dc official App
2025-05-07,당신이 이 땅에 태어나 고통받는 이유,20,0,https://gall.dcinside.com/board/view/?id=stock_new2&no=8451197&page=1,"당신이 사는곳은
‘사탄’이 통치하는 감옥입니다
당신은 자신이 왜 태어났는지 왜 존재하는지
왜 불완전하고 유한한 이 땅에 태어나
육체를 입고 고통받고
결국 죽어야만 하는지 의문이 들기 시작합니다
당신은 이 세상이 연극과도 같고
인위적으로 만들어진 가짜 세상임을
하나하나씩 눈치채기 시작합니다
그렇게 가짜세상임을 눈치채고
세상 밖으로 나가기로 결정을 하고
기나긴 여정 끝에 배가 세상 끝인 벽에 도착합니다
전부 가짜 세트장이었던것이죠
그렇게 여러분은 가짜세상
즉 감옥을 탈출하여
‘진짜 세계‘ 로 가게됩니다
어쩌면 당신의 이야기
여러분은 전지전능한 신이
이 땅을 창조한 이유가 무엇이라 생각하나요?
여러분들의 고통을 보며 즐기기 위해?
엉망진창인 세상을 보며 희열을 느끼기 위해?
전쟁 기아 가뭄 재해 전염병 등등
지금도 수많은 이웃들이 고통을 받는 이 세계가
진심으로 즐거우시고 좋은 세상이라고 느끼시나요?
여러분들이 늙고 병들고 죽고
강제적욕구를 당해야만 하는
더러운 배설물들을 배설해야만하는
이 수많은 하자를 가진 육체를 입고
수많은 고통과 하자가 있는 이 유한한 땅에서 태어나
고통받는 이유는
바로 ‘여러분들이 이 땅을 원했기 때문’ 입니다
즉 여러분들 탓인거죠
인류는 천국에서 사탄에 선동에 넘어가
스스로 하나님처럼 되어보겠다고
반역을 일으킨 타락한 천사들입니다
자기들이 하나님 없는 세계를 원했기에
창조된 공간이 바로 샤탄이 통치하는 이 땅이죠
즉 당신은 반역한 타락천사라는 뜻이고
당신은 원래 영적인 존재인 천사였다는 뜻이죠
이 모든 내용이 성경에 나옵니다
진실을 마주하고 싶으시다면
'성경해석본‘ 갤러리에서 확인하시면 됩니다
성경해석본 미니 갤러리
- 커뮤니티 포털 디시인사이드
성경을 해석하고 공유하는 갤러리 - 성경해석본 갤러리에 다양한 이야기를 남겨주세요.
gall.dcinside.com
여러분들이 진정으로 회개해야할 죄를 깨달아서
이 감옥에서 탈출하시길 진심으로 바랍니다"
